EID,GID,UID,Y
14DS,1,14DS_1,2.69
14WW,1,14WW_1,4.56
16DS,1,16DS_1,4
14DS,2,14DS_2,2.74
14WW,2,14WW_2,5.88
16DS,2,16DS_2,3.23
14DS,3,14DS_3,3.42
14WW,3,14WW_3,5.59
16DS,3,16DS_3,4.62
14DS,4,14DS_4,5.24
14WW,4,14WW_4,5.53
16DS,4,16DS_4,4.89
14DS,6,14DS_6,3.7
14WW,6,14WW_6,3.6
16DS,6,16DS_6,4.65
14DS,8,14DS_8,4.77
14WW,8,14WW_8,6.35
16DS,8,16DS_8,5.39
14DS,9,14DS_9,4.13
14WW,9,14WW_9,6.03
16DS,9,16DS_9,4.03
14DS,10,14DS_10,6.06
14WW,10,14WW_10,4.22
16DS,10,16DS_10,3.56
14DS,15,14DS_15,2.38
14WW,15,14WW_15,2.81
16DS,15,16DS_15,4.41
14DS,17,14DS_17,2.81
14WW,17,14WW_17,7.27
16DS,17,16DS_17,3.7
14DS,18,14DS_18,5.41
14WW,18,14WW_18,7.74
16DS,18,16DS_18,3.23
14DS,19,14DS_19,3.8
14WW,19,14WW_19,6.62
16DS,19,16DS_19,2.96
14DS,20,14DS_20,3.25
14WW,20,14WW_20,6.1
16DS,20,16DS_20,3.17
14DS,25,14DS_25,3.25
14WW,25,14WW_25,6.48
16DS,25,16DS_25,3.73
14DS,26,14DS_26,3.25
14WW,26,14WW_26,6.28
16DS,26,16DS_26,3.67
14DS,28,14DS_28,3.62
14WW,28,14WW_28,5.52
16DS,28,16DS_28,4.15
14DS,36,14DS_36,3.69
14WW,36,14WW_36,7.02
16DS,36,16DS_36,4.27
14DS,38,14DS_38,3.99
14WW,38,14WW_38,6.24
16DS,38,16DS_38,4.95
14DS,42,14DS_42,3.87
14WW,42,14WW_42,6.58
16DS,42,16DS_42,4.15
14DS,47,14DS_47,4.24
14WW,47,14WW_47,6.63
16DS,47,16DS_47,5.36
14DS,48,14DS_48,3.2
14WW,48,14WW_48,6.73
16DS,48,16DS_48,4.5
14DS,53,14DS_53,2.98
14WW,53,14WW_53,5.7
16DS,53,16DS_53,3.11
14DS,54,14DS_54,2.14
14WW,54,14WW_54,4.07
16DS,54,16DS_54,3.85
14DS,55,14DS_55,2.66
14WW,55,14WW_55,5.58
16DS,55,16DS_55,3.85
14DS,58,14DS_58,3.63
14WW,58,14WW_58,5.77
16DS,58,16DS_58,5.33
14DS,60,14DS_60,2.6
14WW,60,14WW_60,5.67
16DS,60,16DS_60,4.44
14DS,64,14DS_64,3.08
14WW,64,14WW_64,4.77
16DS,64,16DS_64,4.62
14DS,65,14DS_65,3.75
14WW,65,14WW_65,6.59
16DS,65,16DS_65,3.85
14DS,66,14DS_66,3.44
14WW,66,14WW_66,6.08
16DS,66,16DS_66,4.15
14DS,69,14DS_69,3.5
14WW,69,14WW_69,4.74
16DS,69,16DS_69,3.56
14DS,72,14DS_72,4.2
14WW,72,14WW_72,6.24
16DS,72,16DS_72,5.66
14DS,78,14DS_78,3.99
14WW,78,14WW_78,7.13
16DS,78,16DS_78,4
14DS,81,14DS_81,3.33
14WW,81,14WW_81,6.89
16DS,81,16DS_81,4.53
14DS,89,14DS_89,2.88
14WW,89,14WW_89,6.32
16DS,89,16DS_89,4.5
14DS,93,14DS_93,NA
14WW,93,14WW_93,NA
16DS,93,16DS_93,4.24
14DS,95,14DS_95,3.28
14WW,95,14WW_95,6.2
16DS,95,16DS_95,4.44
14DS,97,14DS_97,3.26
14WW,97,14WW_97,4.85
16DS,97,16DS_97,5.3
14DS,103,14DS_103,3.42
14WW,103,14WW_103,NA
16DS,103,16DS_103,2.01
14DS,106,14DS_106,4.75
14WW,106,14WW_106,6.27
16DS,106,16DS_106,3.26
14DS,107,14DS_107,3.87
14WW,107,14WW_107,5.84
16DS,107,16DS_107,4.33
14DS,112,14DS_112,3.68
14WW,112,14WW_112,5.82
16DS,112,16DS_112,3.11
14DS,123,14DS_123,NA
14WW,123,14WW_123,NA
16DS,123,16DS_123,0
14DS,125,14DS_125,3.49
14WW,125,14WW_125,5.47
16DS,125,16DS_125,3.79
14DS,128,14DS_128,3.53
14WW,128,14WW_128,5.03
16DS,128,16DS_128,4.03
14DS,131,14DS_131,3.81
14WW,131,14WW_131,5.38
16DS,131,16DS_131,4.53
14DS,133,14DS_133,3.29
14WW,133,14WW_133,5.96
16DS,133,16DS_133,2.7
14DS,135,14DS_135,3.36
14WW,135,14WW_135,5.04
16DS,135,16DS_135,3.5
14DS,136,14DS_136,3.96
14WW,136,14WW_136,4.91
16DS,136,16DS_136,3.08
14DS,138,14DS_138,3.14
14WW,138,14WW_138,5.3
16DS,138,16DS_138,3.76
14DS,141,14DS_141,3.96
14WW,141,14WW_141,6.38
16DS,141,16DS_141,3.67
14DS,143,14DS_143,3.85
14WW,143,14WW_143,6.94
16DS,143,16DS_143,4.33
14DS,145,14DS_145,NA
14WW,145,14WW_145,6.88
16DS,145,16DS_145,4.44
14DS,148,14DS_148,4.7
14WW,148,14WW_148,6.53
16DS,148,16DS_148,4.77
14DS,159,14DS_159,3.44
14WW,159,14WW_159,6.8
16DS,159,16DS_159,4.95
14DS,165,14DS_165,2.91
14WW,165,14WW_165,NA
16DS,165,16DS_165,2.93
14DS,172,14DS_172,3.87
14WW,172,14WW_172,5.07
16DS,172,16DS_172,4.44
