"","cv","model","env","n","rmse"
"1","cv2","E+G","14DS",96,8.18
"2","cv2","E+G","14WW",96,9.65
"3","cv2","E+G","16DS",96,17.19
"4","cv2","E+G","16WW",96,13.67
"5","cv2","E+G","all",384,12.17
"6","cv2","E+G+A+AE+AG","14DS",96,8.13
"7","cv2","E+G+A+AE+AG","14WW",96,9.46
"8","cv2","E+G+A+AE+AG","16DS",96,16.07
"9","cv2","E+G+A+AE+AG","16WW",96,13.63
"10","cv2","E+G+A+AE+AG","all",384,11.82
"11","cv2","E+G+A+F","14DS",96,8.83
"12","cv2","E+G+A+F","14WW",96,12.96
"13","cv2","E+G+A+F","16DS",96,19.66
"14","cv2","E+G+A+F","16WW",96,14.71
"15","cv2","E+G+A+F","all",384,14.04
"16","cv2","E+G+F+EF","14DS",96,9.43
"17","cv2","E+G+F+EF","14WW",96,14.12
"18","cv2","E+G+F+EF","16DS",96,19.61
"19","cv2","E+G+F+EF","16WW",96,12.61
"20","cv2","E+G+F+EF","all",384,13.94
"21","cv2","E+G+F+EG+EF","14DS",96,12.44
"22","cv2","E+G+F+EG+EF","14WW",96,12.51
"23","cv2","E+G+F+EG+EF","16DS",96,20.42
"24","cv2","E+G+F+EG+EF","16WW",96,15.72
"25","cv2","E+G+F+EG+EF","all",384,15.27
"26","cv1","E+G","14DS",96,21.54
"27","cv1","E+G","14WW",96,22.14
"28","cv1","E+G","16DS",96,30.07
"29","cv1","E+G","16WW",96,22.61
"30","cv1","E+G","all",384,24.09
"31","cv1","E+G+A+AE+AG","14DS",96,16.97
"32","cv1","E+G+A+AE+AG","14WW",96,18.88
"33","cv1","E+G+A+AE+AG","16DS",96,26.62
"34","cv1","E+G+A+AE+AG","16WW",96,18.57
"35","cv1","E+G+A+AE+AG","all",384,20.26
"36","cv1","E+G+A+F","14DS",96,18.04
"37","cv1","E+G+A+F","14WW",96,19.06
"38","cv1","E+G+A+F","16DS",96,25.26
"39","cv1","E+G+A+F","16WW",96,19.34
"40","cv1","E+G+A+F","all",384,20.42
"41","cv1","E+G+F+EF","14DS",96,18.55
"42","cv1","E+G+F+EF","14WW",96,19.8
"43","cv1","E+G+F+EF","16DS",96,26.18
"44","cv1","E+G+F+EF","16WW",96,20.95
"45","cv1","E+G+F+EF","all",384,21.37
"46","cv1","E+G+F+EG+EF","14DS",96,18.75
"47","cv1","E+G+F+EG+EF","14WW",96,19.49
"48","cv1","E+G+F+EG+EF","16DS",96,26.51
"49","cv1","E+G+F+EG+EF","16WW",96,20.8
"50","cv1","E+G+F+EG+EF","all",384,21.39
"51","cv0","E+G","14DS",96,8.18
"52","cv0","E+G","14WW",96,9.69
"53","cv0","E+G","16DS",96,17.11
"54","cv0","E+G","16WW",96,13.68
"55","cv0","E+G","all",384,12.16
"56","cv0","E+G+A+AE+AG","14DS",96,8.2
"57","cv0","E+G+A+AE+AG","14WW",96,9.49
"58","cv0","E+G+A+AE+AG","16DS",96,16.05
"59","cv0","E+G+A+AE+AG","16WW",96,13.59
"60","cv0","E+G+A+AE+AG","all",384,11.83
"61","cv0","E+G+A+F","14DS",96,8.91
"62","cv0","E+G+A+F","14WW",96,12.97
"63","cv0","E+G+A+F","16DS",96,19.54
"64","cv0","E+G+A+F","16WW",96,14.67
"65","cv0","E+G+A+F","all",384,14.02
"66","cv0","E+G+F+EF","14DS",96,9.26
"67","cv0","E+G+F+EF","14WW",96,14
"68","cv0","E+G+F+EF","16DS",96,19.71
"69","cv0","E+G+F+EF","16WW",96,12.69
"70","cv0","E+G+F+EF","all",384,13.91
"71","cv0","E+G+F+EG+EF","14DS",96,12.08
"72","cv0","E+G+F+EG+EF","14WW",96,12.48
"73","cv0","E+G+F+EG+EF","16DS",96,20.37
"74","cv0","E+G+F+EG+EF","16WW",96,15.74
"75","cv0","E+G+F+EG+EF","all",384,15.17
"76","cv00","E+G","14DS",96,21.53
"77","cv00","E+G","14WW",96,22.12
"78","cv00","E+G","16DS",96,30.05
"79","cv00","E+G","16WW",96,22.59
"80","cv00","E+G","all",384,24.07
"81","cv00","E+G+A+AE+AG","14DS",96,17.08
"82","cv00","E+G+A+AE+AG","14WW",96,18.94
"83","cv00","E+G+A+AE+AG","16DS",96,26.67
"84","cv00","E+G+A+AE+AG","16WW",96,18.73
"85","cv00","E+G+A+AE+AG","all",384,20.36
"86","cv00","E+G+A+F","14DS",96,18.45
"87","cv00","E+G+A+F","14WW",96,19.35
"88","cv00","E+G+A+F","16DS",96,25.53
"89","cv00","E+G+A+F","16WW",96,19.51
"90","cv00","E+G+A+F","all",384,20.71
"91","cv00","E+G+F+EF","14DS",96,18.46
"92","cv00","E+G+F+EF","14WW",96,19.89
"93","cv00","E+G+F+EF","16DS",96,26.2
"94","cv00","E+G+F+EF","16WW",96,20.98
"95","cv00","E+G+F+EF","all",384,21.38
"96","cv00","E+G+F+EG+EF","14DS",96,18.47
"97","cv00","E+G+F+EG+EF","14WW",96,19.3
"98","cv00","E+G+F+EG+EF","16DS",96,26.37
"99","cv00","E+G+F+EG+EF","16WW",96,20.56
"100","cv00","E+G+F+EG+EF","all",384,21.18
